# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
chi 	喫	c=14 d=1.79238 t=9521
chi bu 	喫不	c=0 d=0.1 t=9325
chi bu dong 	喫不動	c=1 d=1 t=9326
chi chi 	遲遲	c=1 d=1 t=18840
chi dian 	喫點	c=1 d=1 t=6062
chi fan 	喫飯	c=4 d=1.08311 t=18127
chi fan ma 	喫飯嗎	c=1 d=1 t=18091
chi guo 	喫過	c=1 d=1 t=6281
chi jiu 	持久	c=0 d=0.1 t=43
chi jiu hua 	持久化	c=3 d=1.20909 t=24265
chi sha 	喫啥	c=1 d=1.08511 t=9294
chi sha 	癡傻	c=1 d=1 t=9290
chi wan 	喫完	c=1 d=1 t=1892
chi xu 	持續	c=1 d=1 t=15532
chi you 	持有	c=1 d=1 t=15359
chong 	重	c=1 d=1 t=18633
chong chi zhe 	充斥着	c=1 d=1 t=7331
chong fu 	重複	c=13 d=1.3291 t=26459
chong fu chu xian 	重複出現	c=1 d=1 t=22320
chong gong 	充公	c=1 d=1 t=14413
chong gou 	重構	c=5 d=0.100006 t=23362
chong gou hou 	重構後	c=1 d=1 t=7215
chong gou jin 	重構進	c=1 d=1 t=23363
chong gou le 	重構了	c=1 d=1 t=4613
chong jian 	重建	c=2 d=1 t=15837
chong lian 	重連	c=25 d=5.22734 t=18710
chong lian yi ci 	重連一次	c=1 d=1 t=18540
chong ming ming 	重命名	c=1 d=1 t=19560
chong qi 	重啓	c=1 d=1 t=22863
chong shi 	重試	c=21 d=1.00875 t=23157
chong tu 	衝突	c=1 d=1 t=17324
chong wen 	重溫	c=1 d=1 t=4745
chong xie 	重寫	c=1 d=1 t=21191
chong xie le 	重寫了	c=1 d=1 t=4851
chong xin 	重新	c=17 d=2.00073 t=20960
chong xin ji suan 	重新計算	c=1 d=1 t=20961
chong zhi 	重置	c=5 d=1 t=17075
chong zuo 	重做	c=2 d=1 t=14400
chou chu lai 	抽出來	c=1 d=1 t=11790
chou xiang 	抽象	c=3 d=1.00512 t=24187
chu 	出	c=8 d=1.01376 t=24566
chu 	處	c=4 d=1.19852 t=16298
chu 	除	c=1 d=1 t=8403
chu ban 	初版	c=1 d=1 t=25134
chu chai 	出差	c=2 d=1.04394 t=18135
chu chong 	出銃	c=1 d=1 t=2531
chu cuo 	出錯	c=0 d=0.1 t=11489
chu cuo hou 	出錯後	c=1 d=1 t=11490
chu fa 	出發	c=1 d=1 t=1901
chu fa 	觸發	c=18 d=1.00605 t=21879
chu fei 	除非	c=3 d=1 t=21913
chu guo 	出國	c=0 d=0.1 t=11125
chu guo du 	出國讀	c=1 d=1 t=11126
chu lai 	出來	c=12 d=1.0001 t=23615
chu lai de 	出來的	c=1 d=1 t=7250
chu le 	出了	c=4 d=2.61725 t=11932
chu le 	除了	c=12 d=1 t=25280
chu li 	處理	c=61 d=1.9176 t=25992
chu men 	出門	c=2 d=1 t=8776
chu qu 	出去	c=1 d=1 t=4389
chu qu wan 	出去玩	c=1 d=1 t=8769
chu ru 	出入	c=1 d=1 t=3739
chu shi 	初始	c=4 d=1.7788 t=26637
chu shi 	初識	c=4 d=1 t=26584
chu shi hua 	初始化	c=35 d=1.00001 t=26582
chu shi shi 	初始時	c=1 d=1 t=16822
chu shou 	出售	c=0 d=0.1 t=5325
chu shou jia ge 	出售價格	c=1 d=1 t=5326
chu wen ti 	出問題	c=3 d=1.98511 t=27260
chu xian 	出現	c=15 d=1 t=26384
chu xian wen ti 	出現問題	c=1 d=1 t=18590
chu xian zai 	出現在	c=3 d=1 t=25118
chu yu 	處於	c=1 d=1 t=21262
chu zai 	出在	c=2 d=1.0276 t=19304
chuan 	傳	c=1 d=1 t=23272
chuan 	川	c=1 d=1 t=9278
chuan bo 	傳播	c=1 d=1 t=14753
chuan dao 	傳到	c=3 d=1.05474 t=10916
chuan di 	傳遞	c=0 d=0.1 t=10288
chuan di dao 	傳遞到	c=1 d=1 t=10289
chuan gei 	傳給	c=1 d=1 t=16028
chuan shuo 	傳說	c=0 d=0.1 t=10927
chuan xing 	串行	c=1 d=1.0865 t=9957
chuan xing de 	串行的	c=1 d=1 t=9929
chuang jian 	創建	c=34 d=1.30424 t=26578
chuang jian gui ze 	創建規則	c=1 d=1 t=24255
chuang jian shi 	創建時	c=1 d=1 t=23773
chuang kou 	窗口	c=6 d=1 t=26367
chuang shi 	創世	c=1 d=1 t=427
chui bao 	吹報	c=1 d=1 t=5164
chui niu lao die 	吹牛老爹	c=1 d=1 t=24963
chun 	純	c=2 d=1 t=9299
chun 	蠢	c=1 d=1 t=16746
chun chun 	純純	c=2 d=1 t=23801
chun shu 	純數	c=1 d=1 t=11127
chun zhao 	春招	c=1 d=1 t=4788
ci 	次	c=4 d=1 t=27094
ci 	此	c=1 d=1 t=1218
ci pan 	磁盤	c=3 d=1.89137 t=20330
ci shi 	此時	c=22 d=1.00024 t=26575
ci shu 	次數	c=5 d=1 t=26385
cong 	從	c=95 d=1.66841 t=24747
cong da dao xiao 	從大到小	c=1 d=1 t=21549
cong er 	從而	c=8 d=0.111627 t=26591
cong er chan sheng 	從而產生	c=1 d=1 t=21803
cong er da dao 	從而達到	c=1 d=1 t=26592
cong ming 	從命	c=0 d=0.1 t=8293
cong qian 	從前	c=1 d=1 t=3528
cong zhe li 	從這裏	c=3 d=1.97045 t=14184
cu 	粗	c=1 d=1 t=27327
cu lve 	粗略	c=2 d=1 t=27159
cu pai 	粗排	c=1 d=1 t=324
cun 	存	c=12 d=0.1 t=27200
cun chu 	存儲	c=36 d=0.100626 t=27327
cun chu xiao lv 	存儲效率	c=1 d=1 t=27328
cun chu yin qing 	存儲引擎	c=1 d=1 t=821
cun chu zai 	存儲在	c=1 d=1 t=25911
cun de 	存的	c=5 d=1 t=27323
cun de shi 	存的是	c=1 d=1 t=11521
cun fang 	存放	c=3 d=1 t=19918
cun le 	存了	c=5 d=0.907853 t=24194
cun min 	村民	c=1 d=1 t=11118
cun suan fen li 	存算分離	c=1 d=1 t=4766
cun xu 	存續	c=1 d=1 t=2054
cun yi 	存疑	c=3 d=2.48914 t=669
cun yi fen 	存一份	c=5 d=2.65756 t=24103
cun yi ge 	存一個	c=2 d=1 t=18814
cun za 	存咋	c=1 d=1 t=23477
cun zai 	存在	c=22 d=1.4526 t=24542
cuo 	錯	c=6 d=1 t=18001
cuo an tou 	错安头	c=1 d=1 t=9440
cuo ci 	措辭	c=2 d=1 t=24961
cuo de 	錯的	c=2 d=1.20495 t=23139
cuo kai 	錯開	c=1 d=1 t=27287
cuo le 	错了	c=2 d=1.01075 t=18347
cuo na le 	錯哪了	c=1 d=1 t=18475
cuo shi 	措施	c=1 d=1 t=1670
cuo wu 	錯誤	c=31 d=1 t=24891
cuo wu shi 	錯誤時	c=1 d=1 t=10513
da 	大	c=16 d=1.10462 t=26921
da 	打	c=8 d=1.04513 t=21009
da 	搭	c=0 d=0.1 t=17280
da bao 	打爆	c=1 d=1 t=21215
da bi sai 	打比賽	c=1 d=1 t=4701
da bian 	大便	c=3 d=1 t=7713
da bian 	大變	c=1 d=1 t=1703
da bian 	大辩	c=1 d=1 t=190
da bian 	答辯	c=14 d=0.165887 t=8716
da bian gao 	答辯稿	c=4 d=2.99962 t=6541
da bian wan 	答辯完	c=2 d=1.96561 t=6141
da bu fen 	大部分	c=2 d=1.00362 t=20823
da bu shang 	搭不上	c=1 d=1 t=17281
da cha xun 	大查詢	c=12 d=1.55462 t=26683
da che 	打車	c=1 d=1 t=9312
da che 	搭車	c=4 d=1.54155 t=17485
da cheng 	達成	c=1 d=1 t=21776
da cheng yi zhi 	達成一致	c=1 d=1 t=10750
da chong gou 	大重構	c=1 d=1 t=20915
da chu 	打出	c=4 d=3.84554 t=22805
da da 	大大	c=1 d=1 t=4861
da dao 	大道	c=1 d=1 t=5120
da dao 	打到	c=1 d=1 t=5859
da dao 	達到	c=8 d=0.479201 t=26591
da de 	打得	c=0 d=0.1 t=5855
da de dao 	打得到	c=2 d=1 t=9319
da di 	大弟	c=0 d=0.1 t=8274
da di zi 	大弟子	c=1 d=1 t=8275
da duo shu 	大多數	c=2 d=1 t=14220
da gai 	大概	c=9 d=1.00124 t=24784
da gai lv 	大概率	c=3 d=1.00372 t=22834
da gai shi 	大概是	c=1 d=1 t=20221
da gang 	大綱	c=2 d=1 t=23927
da ge 	打個	c=2 d=1 t=24235
da guai 	打怪	c=2 d=1.00126 t=5971
da ji 	大吉	c=1 d=1 t=12382
da jia 	大家	c=8 d=1 t=27040
da jia hao 	大家好	c=1 d=1 t=243
da ka 	打卡	c=1 d=1 t=18266
da kai 	大楷	c=1 d=1 t=2750
da kai 	打開	c=4 d=1 t=26163
da kai le 	打開了	c=1 d=1 t=2309
da le 	大了	c=1 d=1 t=27005
da le 	打了	c=1 d=1 t=7906
da liang 	大量	c=7 d=1.43534 t=27067
da liang xie 	大量寫	c=1 d=1 t=26096
da man 	打滿	c=10 d=1.08029 t=26737
da meng 	達夢	c=1 d=1 t=9357
da mo xing 	大模型	c=1 d=1 t=2946
da pei 	搭配	c=1 d=1 t=5616
da qian 	打錢	c=1 d=1 t=9360
da sao miao 	大掃描	c=3 d=2.12562 t=25746
da shao ye 	大少爺	c=1 d=1 t=7698
da sheng 	大昇	c=1 d=1 t=11078
da suan 	打算	c=1 d=1.00627 t=23571
da suan can kao 	打算參考	c=1 d=1 t=23018
da xiang 	大象	c=5 d=2.86814 t=7848
da xiao 	大小	c=42 d=1.1514 t=26923
da xie 	大寫	c=2 d=1.96561 t=12613
da xue 	大學	c=9 d=1 t=19570
da yin 	打印	c=2 d=1 t=7883
da yin chu lai 	打印出來	c=1 d=1 t=7736
da yong 	大用	c=2 d=1.84789 t=5591
da yu 	大於	c=4 d=1 t=19975
da zhi 	大致	c=5 d=1.00811 t=23897
dai 	帶	c=6 d=1.96561 t=19425
dai 	待	c=4 d=1.00446 t=18629
dai biao 	代表	c=5 d=1.00001 t=8992
dai cheng 	代稱	c=1 d=1 t=5070
dai cheng 	待承	c=1 d=1 t=5069
dai dao 	待到	c=2 d=1.71177 t=4685
dai ding 	待定	c=2 d=1.32956 t=15682
dai fa 	代發	c=0 d=0.1 t=16958
dai fa 	待發	c=0 d=0.1 t=18635
dai fa song 	代發送	c=1 d=1 t=16959
dai fa song 	帶發送	c=1 d=1 t=9766
dai fa song 	待發送	c=1 d=1 t=18636
dai kuan 	帶寬	c=1 d=1 t=20422
dai lai 	帶來	c=7 d=0.1 t=18658
dai ma 	代碼	c=38 d=0.455552 t=24967
dai ma kuai 	代碼塊	c=2 d=1.96561 t=19426
dai ni 	帶你	c=2 d=1 t=5880
dai shang 	帶上	c=5 d=1.06026 t=26798
dai shang che 	待上車	c=1 d=1 t=17190
dai shang le 	帶上了	c=1 d=1 t=26623
dai shu 	代數	c=1 d=1 t=16337
dai shu 	袋鼠	c=1 d=1 t=16338
dai suo 	帶鎖	c=2 d=2.05256 t=24885
dai you 	帶有	c=1 d=1 t=5740
dai zou 	帶走	c=1 d=1 t=17607
dan 	丹	c=3 d=2.48923 t=18504
dan 	但	c=12 d=0.107021 t=26552
dan 	單	c=2 d=1.70781 t=6900
dan bi jiao 	但比較	c=1 d=1 t=24474
dan che 	單車	c=1 d=1 t=1838
dan chun 	單純	c=0 d=0.1 t=22912
dan chun shi 	單純是	c=1 d=1 t=22913
dan du 	單獨	c=2 d=0.1 t=26760
dan du fen qu 	單獨分區	c=1 d=1 t=26761
dan gan jue 	但感覺	c=1 d=1 t=1498
dan ge 	單個	c=7 d=1.63763 t=26225
dan ge 	單格	c=1 d=1 t=20138
dan hai 	但還	c=0 d=0.1 t=21692
dan hai zai 	但還在	c=1 d=1 t=21693
dan ke neng 	但可能	c=1 d=1 t=12003
dan mu 	疸目	c=1 d=1 t=14128
dan mu qian 	但目前	c=3 d=1 t=25919
dan ren 	單人	c=0 d=0.1 t=11115
dan ren ma 	單人嗎	c=1 d=1 t=11116
dan ru guo 	但如果	c=3 d=1.00033 t=25873
dan shi 	但是	c=86 d=1.24016 t=27073
dan si hu 	但似乎	c=1 d=1 t=12006
dan ta 	但它	c=0 d=0.1 t=27024
dan ta men 	但它們	c=1 d=1 t=27025
dan wei 	單位	c=23 d=1.96563 t=26794
dan wei shi jian 	單位時間	c=1 d=1 t=20428
dan wo 	但我	c=2 d=1 t=25032
dan xian cheng 	單線程	c=6 d=1 t=24874
dan xin 	擔心	c=1 d=1 t=24107
dan xiu gai 	但修改	c=1 d=1 t=26020
dan xu yao 	但需要	c=1 d=1 t=26553
dan you 	但有	c=0 d=0.1 t=22582
dan you ji hua 	但有計畫	c=1 d=1 t=22583
dan you yu 	但由於	c=1 d=1 t=13657
dan yu ju 	單語句	c=1 d=1 t=6686
dan yuan 	但願	c=1 d=1 t=2773
dan zai 	但在	c=2 d=1 t=26488
dan zhe 	但這	c=1 d=1 t=12015
dan zhi de 	但值得	c=1 d=1 t=25062
dan zui zhong 	但最終	c=1 d=1 t=3109
dang 	當	c=5 d=1 t=24897
dang an 	檔案	c=1 d=1 t=9841
dang qian 	當前	c=77 d=1.73957 t=26869
dang qian de 	當前的	c=1 d=1 t=9599
dang qian shi jian 	當前時間	c=4 d=3.44114 t=16562
dang qian shi xian 	當前實現	c=1 d=1 t=15627
dang qie 	當且	c=1 d=1 t=7983
dang qie jin dang 	當且僅當	c=1 d=1 t=8114
dang ran 	當然	c=1 d=1 t=27052
dang ran hao le 	當然好了	c=1 d=1 t=6080
dang shi 	當時	c=3 d=1 t=18327
dang suo you 	當所有	c=1 d=1 t=22548
dang wo men 	當我們	c=3 d=1 t=24769
dang xian 	砀县	c=1 d=1 t=16659
dang zuo 	當作	c=1 d=1 t=27204
dao 	刀	c=1 d=1 t=25133
dao 	到	c=75 d=1 t=26461
dao 	導	c=0 d=0.1 t=27046
dao chu 	導出	c=1 d=1 t=1146
dao da 	到達	c=5 d=1 t=23534
dao de 	到的	c=1 d=0.1 t=23621
dao hou 	到後	c=1 d=1 t=3529
dao le 	倒了	c=1 d=1 t=5159
dao le 	到了	c=4 d=0.1 t=25199
dao li 	道理	c=1 d=1 t=9169
dao shen me 	到什麼	c=1 d=1 t=14504
dao shi 	倒是	c=2 d=1.99501 t=25332
dao shi 	導師	c=3 d=1.00001 t=10407
dao shi hou 	到時候	c=7 d=2.05032 t=27239
dao wo 	到我	c=1 d=1 t=4884
dao yi ban 	導一半	c=1 d=1 t=27047
dao zhi 	導致	c=38 d=1.16201 t=26851
dao zui hou 	到最後	c=1 d=1 t=6305
de 	地	c=12 d=1 t=26018
de 	得	c=3 d=1 t=25552
de 	德	c=1 d=1 t=6571
de 	的	c=2384 d=18.4488 t=27425
de dao 	得到	c=19 d=1.04121 t=26380
de dao de 	得到的	c=2 d=1 t=25053
de fang an 	的方案	c=1 d=1 t=26357
de le 	得了	c=1 d=1 t=7392
de shi 	的事	c=0 d=0.1 t=25062
de shu ju 	的數據	c=1 d=1 t=20616
de xing shi 	的形式	c=1 d=1 t=22946
de yi 	得以	c=1 d=1 t=7377
dei 	得	c=37 d=1.08538 t=27262
dei deng 	得等	c=2 d=1 t=18333
dei gai 	得改	c=1 d=1 t=25479
dei kao 	得靠	c=2 d=1.16864 t=23481
dei kao lv 	得考慮	c=1 d=1 t=23296
dei qu 	得去	c=2 d=1 t=15342
dei xian 	得先	c=1 d=1 t=1866
dei yi 	得以	c=1 d=1 t=26785
dei yong 	得用	c=2 d=1.3379 t=25275
dei you 	得有	c=1 d=1 t=26650
dei zhao dao 	得找到	c=1 d=1 t=27192
deng 	等	c=29 d=1.00196 t=20912
deng dai 	等待	c=18 d=1.00003 t=24975
deng dai shi jian 	等待時間	c=2 d=1 t=20451
deng dai wan 	等待完	c=1 d=1 t=17622
deng dai xia ci 	等待下次	c=1 d=1 t=22871
deng dao 	等到	c=7 d=1 t=23036
deng ji 	等級	c=2 d=1 t=13363
deng jia 	等價	c=0 d=0.1 t=17411
deng jia yu 	等價於	c=2 d=1 t=25505
deng lu 	登陸	c=5 d=1 t=5030
deng suo 	等鎖	c=3 d=1 t=19775
deng wo 	等我	c=1 d=1 t=336
deng yi ge 	等一個	c=1 d=1 t=13091
deng yi xia 	等一下	c=1 d=1 t=9773
deng yu 	等於	c=3 d=1.38289 t=24708
di 	低	c=3 d=2.98506 t=20311
di 	地	c=0 d=0.1 t=4497
di 	底	c=1 d=1.0802 t=191
di 	第	c=9 d=2.15086 t=26875
di bu shu 	地不熟	c=1 d=1 t=4498
di ceng 	底層	c=1 d=1 t=23515
di dai ma 	低代碼	c=1 d=1 t=6957
di duan 	低端	c=1 d=1 t=5274
di er 	第二	c=0 d=0.1 t=11142
di er ge 	第二個	c=3 d=1 t=18606
di er hang 	第二行	c=1 d=1 t=11143
di fang 	地方	c=13 d=1 t=26022
di ji ge 	第幾個	c=1 d=1 t=27113
di man 	迪曼	c=1 d=1 t=8586
di san dian 	第三點	c=2 d=1.72253 t=8170
di san fang 	第三方	c=1 d=1 t=18362
di shui wei 	低水位	c=3 d=1.36483 t=21561
di si 	第四	c=0 d=0.1 t=16354
di si dian 	第四點	c=1 d=1 t=16355
di tu 	地圖	c=0 d=0.1 t=5916
di tu shang 	地圖上	c=1 d=1 t=5917
di wei 	低位	c=1 d=1 t=917
di xia 	底下	c=1 d=1 t=22062
di yi bu 	第一步	c=2 d=1 t=25237
di yi ci 	第一次	c=3 d=1 t=23616
di yi ge 	第一個	c=10 d=1.00025 t=27116
di yi ji 	第一季	c=1 d=1 t=23077
di yi tiao 	第一條	c=1 d=1 t=15264
di yi xiang 	第一項	c=1 d=1 t=15051
di yu 	低於	c=1 d=1 t=21560
di zhi 	地址	c=12 d=1.96079 t=22084
dian 	店	c=2 d=1 t=6098
dian 	點	c=13 d=1.16925 t=27236
dian cai 	點菜	c=1 d=1 t=7775
dian can 	點餐	c=1 d=1 t=7960
dian cha 	點查	c=3 d=1 t=27228
dian ji 	點擊	c=3 d=1 t=19432
dian li 	店裏	c=1 d=1 t=7763
dian nao 	電腦	c=1 d=1 t=5136
dian qian 	點錢	c=1 d=1 t=17427
dian shi 	電視	c=1 d=1 t=384
dian xin 	電信	c=1 d=1 t=8781
diao 	掉	c=6 d=0.1 t=24597
diao de 	掉得	c=1 d=1 t=5285
diao du 	調度	c=10 d=2.83662 t=20202
diao le 	掉了	c=1 d=1.04649 t=10730
diao luo 	掉落	c=5 d=4.18885 t=5533
diao ni ma de 	掉你媽的	c=1 d=1 t=387
diao yan 	調研	c=4 d=1 t=27394
diao yong 	調用	c=18 d=1.01029 t=19498
diao yong wan 	調用完	c=1 d=1 t=16056
diao yong zhe 	調用者	c=1 d=1 t=10557
die 	爹	c=1 d=1 t=5933
die dai qi 	迭代器	c=4 d=3.3108 t=2265
ding 	丁	c=1 d=1 t=6570
ding 	頂	c=1 d=1 t=10317
ding li 	定理	c=1 d=1 t=6402
ding qi 	定期	c=9 d=1.41895 t=26013
ding shi 	定時	c=38 d=1.28083 t=21223
ding shi ren wu 	定時任務	c=1 d=1 t=12686
ding shi xin tiao 	定時心跳	c=1 d=1 t=16874
ding wei 	定位	c=1 d=1 t=18429
ding xiang 	定向	c=1 d=1 t=26274
ding yi 	定義	c=12 d=1.00001 t=26519
ding yi le 	定義了	c=1 d=1 t=41
ding yue 	訂閱	c=0 d=0.1 t=13265
diu 	丟	c=2 d=1 t=20466
dong 	動	c=0 d=0.1 t=9325
dong 	懂	c=2 d=1.98511 t=6827
dong 	東	c=1 d=1 t=24819
dong 	董	c=1 d=1 t=17958
dong jie 	凍結	c=1 d=1 t=1231
dong jing 	東京	c=1 d=1 t=4781
dong jing shi bian 	東京事変	c=1 d=1 t=27313
dong lao shi 	董老師	c=7 d=1 t=25445
dong le 	動了	c=1 d=1 t=19449
dong tai 	動態	c=5 d=0.271748 t=27216
dong tai xian liu 	動態限流	c=1 d=1 t=27217
dong xi 	東西	c=12 d=1.00026 t=25557
dong xi duo le 	東西多了	c=1 d=1 t=4898
dong zuo 	動作	c=5 d=1.1508 t=22981
dou 	都	c=19 d=0.1 t=27025
dou ban 	豆瓣	c=1 d=1 t=2761
dou bei 	都被	c=1 d=1 t=1999
dou bi 	都比	c=1 d=1 t=4452
dou bu 	都不	c=0 d=0.1 t=15064
dou bu hui 	都不會	c=1 d=1 t=26935
dou bu neng 	都不能	c=1 d=1 t=9151
dou bu tai 	都不太	c=1 d=1 t=12017
dou bu ying gai 	都不應該	c=1 d=1 t=15065
dou bu zhun 	都不准	c=1 d=1 t=13626
dou cun le 	都存了	c=1 d=1 t=24195
dou dei 	都得	c=1 d=1 t=11634
dou di 	兜底	c=3 d=1 t=26987
dou dong 	抖動	c=2 d=1.00357 t=15985
dou fu he 	都符合	c=1 d=1 t=1816
dou gen 	都跟	c=1 d=1 t=26131
dou hui 	都會	c=2 d=1 t=16419
dou hui you 	都會有	c=2 d=0.390835 t=10304
dou hui you yi ge 	都會有一個	c=1 d=1 t=10305
dou ji cheng 	都繼承	c=1 d=1 t=14779
dou jiao 	都叫	c=1 d=1 t=27024
dou kao 	都靠	c=1 d=1 t=5315
dou ke yi 	都可以	c=4 d=1 t=17674
dou man zu 	都滿足	c=1 d=1 t=22550
dou neng 	都能	c=1 d=1 t=5855
dou shi 	都是	c=20 d=1.00202 t=24221
dou shi yi xie 	都是一些	c=1 d=1 t=5348
dou xian 	都先	c=1 d=1 t=3612
dou xie ru 	都寫入	c=1 d=1 t=24037
dou xu yao 	都需要	c=4 d=1.00039 t=11755
dou yao 	都要	c=2 d=1 t=18614
dou yi jing 	都已經	c=1 d=1 t=8963
dou ying gai 	都應該	c=1 d=1 t=4712
dou yong 	都用	c=1 d=1 t=23891
dou you 	都有	c=10 d=1 t=25799
dou you dian 	都有點	c=1 d=1 t=12540
dou you yi ge 	都有一個	c=1 d=1 t=5390
dou zai 	都在	c=2 d=1.00278 t=5867
dou zhi chi 	都支持	c=1 d=1 t=27026
dou zi ji 	都自己	c=1 d=1 t=23099
du 	度	c=1 d=1 t=21186
du 	讀	c=28 d=1 t=27288
du bu dao 	讀不到	c=1 d=1 t=24109
du cao zuo 	讀操作	c=1 d=1 t=20342
du chu 	讀出	c=2 d=1.00035 t=4230
du chu lai 	都出來	c=1 d=1 t=4161
du dao 	讀到	c=2 d=1.02364 t=21419
du du 	毒毒	c=1 d=1 t=21874
du guo 	度過	c=1 d=1 t=5873
du le 	讀了	c=2 d=0.553845 t=20846
du li 	独立	c=22 d=1 t=26544
du ling 	都靈	c=1 d=1 t=19680
du qing qiu 	讀請求	c=1 d=1 t=831
du qu 	讀取	c=9 d=1.00331 t=24363
du te 	獨特	c=1 d=1 t=5419
du xie 	讀寫	c=5 d=1.0595 t=26752
du yao 	毒藥	c=2 d=1.8781 t=5033
du yi bian 	讀一遍	c=1 d=1 t=166
du yi ci 	讀一次	c=2 d=1.08168 t=24114
du zhu 	堵住	c=2 d=1.87372 t=11641
du zi 	肚子	c=1 d=1 t=5123
duan 	段	c=1 d=0.1 t=16181
duan dian 	斷點	c=1 d=1 t=18010
duan lian 	斷連	c=7 d=3.71569 t=18717
duan lian 	煅煉	c=0 d=0.1 t=4623
duan lian ni de ying yu 	煅煉你的英語	c=1 d=1 t=4624
duan wang 	斷網	c=2 d=1.26054 t=19006
duan xiu 	短袖	c=1 d=1 t=2372
dui 	堆	c=1 d=1.0195 t=25651
dui 	對	c=44 d=1.34681 t=26563
dui 	隊	c=1 d=1 t=16663
dui bu dui 	對不對	c=1 d=1 t=11670
dui bu shang 	對不上	c=1 d=1 t=13631
dui de 	對的	c=4 d=1 t=22836
dui jie 	對接	c=1 d=1 t=27243
dui le 	對了	c=2 d=1.97045 t=7052
dui lie 	隊列	c=63 d=1.34646 t=23060
dui lie li 	隊列裏	c=1 d=1 t=11506
dui lie shi 	隊列時	c=1 d=1 t=14945
dui lie zhong 	隊列中	c=1 d=1 t=13148
dui mei ge 	對每個	c=2 d=1 t=13018
dui mian 	對面	c=2 d=1.92774 t=10217
dui qi 	對齊	c=2 d=1 t=19440
dui shang 	對上	c=1 d=1 t=10219
dui tou 	對頭	c=1 d=1 t=7656
dui wai 	對外	c=1 d=1 t=13991
dui wei 	隊尾	c=3 d=2.89871 t=7677
dui wu 	隊伍	c=2 d=1.83946 t=5863
dui xiang 	對象	c=5 d=1.00107 t=18902
dui yi 	對易	c=1 d=1 t=1023
dui ying 	對應	c=68 d=1.66796 t=26301
dui ying de 	對應的	c=4 d=1.51171 t=15477
dui ying hang 	對應行	c=1 d=1 t=24012
dui yu 	對於	c=82 d=0.238802 t=26950
dui yuan 	隊員	c=1 d=1 t=5858
dui zhe 	對着	c=2 d=1.9802 t=23531
dun 	蹲	c=1 d=1 t=6183
duo 	多	c=7 d=1 t=27322
duo ban ben 	多版本	c=1 d=1 t=14586
duo ceng 	多層	c=2 d=1.30575 t=4584
duo chu lai 	多出來	c=1 d=1 t=6317
duo da 	多大	c=1 d=1 t=25341
duo de 	多的	c=1 d=1 t=617
duo duo 	多多	c=1 d=1 t=7083
duo ge 	多個	c=10 d=1 t=25760
duo jiao 	多交	c=0 d=0.1 t=18404
duo jiao liu 	多交流	c=1 d=1 t=18405
duo jiu 	多久	c=1 d=1 t=6555
duo kan kan 	多看看	c=1 d=1 t=2547
duo lai 	多來	c=0 d=0.1 t=10834
duo lai ge 	多來個	c=1 d=1 t=10835
duo le 	多了	c=12 d=1.05382 t=20989
duo mei ti 	多媒體	c=1 d=1 t=7972
duo shao 	多少	c=8 d=1 t=24947
duo shi 	多時	c=0 d=0.1 t=24901
duo suan yi ci 	多算一次	c=1 d=1 t=14161
duo tiao 	多條	c=2 d=1 t=26375
duo tong ji 	多統計	c=1 d=1 t=20739
duo xian cheng 	多線程	c=6 d=1.96092 t=24872
duo xie 	多寫	c=0 d=0.1 t=15590
duo xie xie 	多寫寫	c=1 d=1 t=15591
duo yi dian 	多一點	c=3 d=1 t=25559
duo zu hu 	多租戶	c=2 d=1.00002 t=22250
e 	額	c=2 d=1 t=17824
e e 	諤諤	c=1 d=1 t=21077
e wai 	額外	c=11 d=1 t=26549
ei 	誒	c=1 d=1 t=9362
en 	嗯	c=2 d=1 t=18029
en 	恩	c=3 d=1 t=22950
en en 	嗯嗯	c=2 d=1.9802 t=7720
en long 	恩龍	c=1 d=1 t=19480
er 	而	c=18 d=0.746925 t=26950
er bu neng 	而不能	c=1 d=1 t=25437
er bu yong 	而不用	c=1 d=1 t=5512
er cha 	二叉	c=1 d=1 t=1194
er ci kai fa 	二次開發	c=1 d=1 t=18357
er deng fen 	二等分	c=1 d=1 t=9206
er dui yu 	而對於	c=1 d=1 t=26951
er fen 	二分	c=1 d=1 t=9477
er ji 	二級	c=1 d=1 t=2690
er ji 	二际	c=1 d=1 t=2689
er jin zhi 	二進制	c=1 d=1 t=8729
er qie 	而且	c=9 d=1.99501 t=26984
er shi 	而是	c=2 d=1 t=7210
er shou 	二手	c=0 d=0.1 t=8586
er shou shu 	二手書	c=1 d=1 t=8587
er wo men 	而我們	c=1 d=1 t=22894
er yan 	二言	c=1 d=1 t=19260
er yan 	而言	c=1 d=1 t=19261
er yuan 	二元	c=1 d=1 t=18689
er yuan zu 	二元組	c=1 d=1 t=16161
er zai 	而在	c=1 d=1 t=16989
er zhe 	而這	c=1 d=1 t=16764
er zhe ge 	而這個	c=1 d=1 t=15781
er zhong 	二種	c=1 d=1 t=23383
er zuo de 	而做的	c=1 d=1 t=5253
fa 	發	c=75 d=0.100182 t=23011
fa ban 	發版	c=1 d=1 t=25157
fa bu 	發不	c=0 d=0.1 t=16431
fa bu chu lai 	發不出來	c=2 d=1.56836 t=18611
